Ticker,Avg Abs Change (%),Avg Net Change (%),Std Dev Change (%),Earnings Count
APP,14.9275,12.504166666666668,14.500288058789687,12
TTD,13.889166666666668,-7.354166666666667,16.77471878010225,12
CVNA,13.558181818181817,8.587272727272726,15.482877052349858,11
DELL,12.353333333333333,4.456666666666667,15.678467766818017,12
SMCI,12.094166666666666,1.1475,13.837050477218433,12
FTNT,12.048333333333334,-3.1650000000000005,14.453223295734542,12
PLTR,11.9625,6.010833333333333,12.560609031508951,12
DDOG,11.793333333333335,3.873333333333333,14.868763067300359,12
ORCL,11.7475,1.7258333333333329,13.980398913760608,12
DECK,11.220769230769232,2.828461538461539,12.880894020572903,13
XYZ,11.061666666666667,0.9633333333333334,12.926391842297141,12
COHR,10.780833333333334,0.15416666666666679,13.67050405290917,12
EXPE,10.725,0.29499999999999993,11.780233444206443,12
AXON,10.415000000000001,6.303333333333334,10.31196333773486,12
VRT,9.898333333333333,4.705000000000001,11.625059530639364,12
CIEN,9.820833333333333,1.6608333333333334,11.357623357610224,12
TER,9.794545454545455,-1.678181818181818,11.891247889251842,11
INTC,9.516153846153845,-2.074615384615385,12.141113084189477,13
HPE,9.408333333333333,2.7883333333333336,13.004800395751307,12
LULU,9.340833333333334,-3.5041666666666664,10.90937166621044,12
MU,9.305833333333334,3.535833333333333,11.099245230959163,12
FISV,9.266363636363636,-6.219090909090909,14.3122614946384,11
EL,9.144166666666667,-3.954166666666666,11.435610615595266,12
TGT,8.861666666666666,-0.2849999999999999,10.633534005895944,12
MRVL,8.715833333333334,-0.5641666666666666,11.017146519141988,12
NKE,8.6725,-3.6824999999999997,9.47369192217921,12
META,8.588181818181818,2.099090909090909,10.085787479959565,11
ANET,8.373333333333333,1.3083333333333333,9.239038550267734,12
WDAY,8.349166666666667,-1.8374999999999997,9.242831251594641,12
TPR,8.317272727272728,0.6281818181818181,10.36255838891325,11
NTAP,8.253333333333332,3.06,11.022491056513001,12
CHTR,8.153076923076922,-1.3038461538461539,9.182797811180732,13
KEYS,8.128333333333332,1.0599999999999998,9.474998680738695,12
NFLX,8.125833333333333,0.5591666666666667,9.768383562506257,12
